article_url,agent,Angry,Curious to dive deeper,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
http://www.washingtonpost.com/express/2018/09/07/alex-smith-won-respect-redskins-locker-room-without-saying-much/,agent_1,0.0,9.0,0.0,0.0,1.0,9.0,0.0,3.0
http://www.washingtonpost.com/express/2018/09/07/alex-smith-won-respect-redskins-locker-room-without-saying-much/,agent_2,1.0,8.0,1.0,0.0,2.0,6.0,1.0,1.0
http://www.washingtonpost.com/opinions/2018/12/07/weekly-standard-may-be-teetering-its-anti-trumpism-is-model-standing-firm-principle/,agent_1,1.0,14.0,0.0,0.0,2.0,9.0,0.0,8.0
http://www.washingtonpost.com/opinions/2018/12/07/weekly-standard-may-be-teetering-its-anti-trumpism-is-model-standing-firm-principle/,agent_2,0.0,13.0,0.0,0.0,3.0,12.0,0.0,4.0
http://www.washingtonpost.com/politics/2018/11/10/elvis-hatch-babe-ruth-scalia-among-trumps-medal-freedom-recipients/,agent_1,0.0,13.0,0.0,1.0,6.0,12.0,0.0,18.0
http://www.washingtonpost.com/politics/2018/11/10/elvis-hatch-babe-ruth-scalia-among-trumps-medal-freedom-recipients/,agent_2,0.0,24.0,0.0,0.0,11.0,7.0,5.0,1.0
http://www.washingtonpost.com/sports/2018/09/24/vegas-odds-say-bills-vikings-was-biggest-upset-since-redskins-cowboys-stunner/,agent_1,1.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0
http://www.washingtonpost.com/sports/2018/09/24/vegas-odds-say-bills-vikings-was-biggest-upset-since-redskins-cowboys-stunner/,agent_2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
http://www.washingtonpost.com/sports/2018/09/26/its-not-powder-puff-josh-norman-says-new-roughing-the-passer-rules-make-nfl-hard-watch/,agent_1,0.0,21.0,1.0,0.0,4.0,9.0,0.0,10.0
http://www.washingtonpost.com/sports/2018/09/26/its-not-powder-puff-josh-norman-says-new-roughing-the-passer-rules-make-nfl-hard-watch/,agent_2,0.0,19.0,0.0,0.0,5.0,0.0,0.0,18.0
http://www.washingtonpost.com/sports/2018/09/28/foot-linebacker-is-standing-out-virginia-football/,agent_1,0.0,13.0,0.0,0.0,1.0,19.0,0.0,1.0
http://www.washingtonpost.com/sports/2018/09/28/foot-linebacker-is-standing-out-virginia-football/,agent_2,0.0,16.0,0.0,0.0,1.0,12.0,0.0,3.0
http://www.washingtonpost.com/sports/2018/10/01/open-shut-ian-book-has-notre-dames-offense-good-place-ahead-virginia-tech/,agent_1,0.0,29.0,0.0,0.0,12.0,10.0,0.0,5.0
http://www.washingtonpost.com/sports/2018/10/01/open-shut-ian-book-has-notre-dames-offense-good-place-ahead-virginia-tech/,agent_2,0.0,15.0,0.0,0.0,1.0,32.0,0.0,3.0
http://www.washingtonpost.com/sports/2018/10/04/churchill-transformed-into-playoff-contender-under-an-nfl-experienced-staff/,agent_1,0.0,36.0,1.0,0.0,5.0,12.0,0.0,3.0
http://www.washingtonpost.com/sports/2018/10/04/churchill-transformed-into-playoff-contender-under-an-nfl-experienced-staff/,agent_2,0.0,29.0,0.0,0.0,4.0,10.0,1.0,8.0
http://www.washingtonpost.com/sports/2018/10/04/raiders-might-be-crashing-your-couch-season/,agent_1,2.0,31.0,0.0,0.0,12.0,0.0,0.0,0.0
http://www.washingtonpost.com/sports/2018/10/04/raiders-might-be-crashing-your-couch-season/,agent_2,0.0,16.0,0.0,0.0,6.0,6.0,1.0,12.0
http://www.washingtonpost.com/sports/2018/10/05/baker-mayfield-is-this-generations-brett-favre-or-john-elway-says-ravens-coordinator/,agent_1,0.0,16.0,0.0,1.0,3.0,6.0,0.0,9.0
http://www.washingtonpost.com/sports/2018/10/05/baker-mayfield-is-this-generations-brett-favre-or-john-elway-says-ravens-coordinator/,agent_2,0.0,19.0,0.0,0.0,5.0,5.0,0.0,4.0
http://www.washingtonpost.com/sports/2018/10/07/redskins-saints-matchups-five-potential-keys-monday-nights-game/,agent_1,0.0,10.0,0.0,0.0,7.0,2.0,0.0,3.0
http://www.washingtonpost.com/sports/2018/10/07/redskins-saints-matchups-five-potential-keys-monday-nights-game/,agent_2,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
http://www.washingtonpost.com/sports/2018/10/18/is-khalil-mack-next-lawrence-taylor-bill-belichick-lawrence-taylor-weigh/,agent_1,0.0,13.0,0.0,0.0,11.0,8.0,0.0,1.0
http://www.washingtonpost.com/sports/2018/10/18/is-khalil-mack-next-lawrence-taylor-bill-belichick-lawrence-taylor-weigh/,agent_2,0.0,14.0,0.0,0.0,2.0,2.0,0.0,12.0
http://www.washingtonpost.com/sports/2018/10/24/broncos-qb-chad-kelly-hit-with-vacuum-tube-arrested-trespassing/,agent_1,0.0,27.0,0.0,0.0,4.0,1.0,0.0,1.0
http://www.washingtonpost.com/sports/2018/10/24/broncos-qb-chad-kelly-hit-with-vacuum-tube-arrested-trespassing/,agent_2,0.0,17.0,0.0,0.0,0.0,14.0,0.0,0.0
http://www.washingtonpost.com/sports/2018/10/28/week-fantasy-football-waiver-wire-is-all-about-passing-game/,agent_1,0.0,18.0,0.0,0.0,5.0,7.0,0.0,4.0
